# MC68020UM.pdf section 8.2.6, MOVE instruction, 506 cells
source,destination,best,cache,worst
"#<data>.b,w","([b],i)",9,12,14
"#<data>.b,w","([b],i,d16)",11,14,17
"#<data>.b,w","([b],i,d32)",12,15,20
"#<data>.b,w","([d16,b],i)",11,14,17
"#<data>.b,w","([d16,b],i,d16)",13,16,20
"#<data>.b,w","([d16,b],i,d32)",14,17,23
"#<data>.b,w","([d32,b],i)",15,18,22
"#<data>.b,w","([d32,b],i,d16)",17,20,25
"#<data>.b,w","([d32,b],i,d32)",18,21,27
"#<data>.b,w","(an)",3,6,5
"#<data>.b,w","(an)+",4,6,8
"#<data>.b,w","(b)",5,8,10
"#<data>.b,w","(d16,an)",3,7,7
"#<data>.b,w","(d16,an,xn)",6,9,12
"#<data>.b,w","(d16,b)",7,10,14
"#<data>.b,w","(d32,b)",11,14,19
"#<data>.b,w","(d8,an,xn)",4,7,9
"#<data>.b,w","(xxx).l",5,8,9
"#<data>.b,w","(xxx).w",3,6,7
"#<data>.b,w","-(an)",3,7,6
"#<data>.b,w","an",0,4,3
"#<data>.b,w","dn",0,4,3
"#<data>.l","([b],i)",9,14,16
"#<data>.l","([b],i,d16)",11,16,19
"#<data>.l","([b],i,d32)",12,17,22
"#<data>.l","([d16,b],i)",11,16,19
"#<data>.l","([d16,b],i,d16)",13,18,22
"#<data>.l","([d16,b],i,d32)",14,19,25
"#<data>.l","([d32,b],i)",15,20,24
"#<data>.l","([d32,b],i,d16)",17,22,27
"#<data>.l","([d32,b],i,d32)",18,23,29
"#<data>.l","(an)",3,8,7
"#<data>.l","(an)+",4,8,7
"#<data>.l","(b)",5,10,12
"#<data>.l","(d16,an)",3,9,9
"#<data>.l","(d16,an,xn)",6,11,14
"#<data>.l","(d16,b)",7,12,16
"#<data>.l","(d32,b)",11,16,21
"#<data>.l","(d8,an,xn)",4,9,11
"#<data>.l","(xxx).l",5,10,11
"#<data>.l","(xxx).w",3,8,9
"#<data>.l","-(an)",3,9,8
"#<data>.l","an",0,6,5
"#<data>.l","dn",0,6,5
"([b],i)","([b],i)",19,22,21
"([b],i)","([b],i,d16)",21,24,28
"([b],i)","([b],i,d32)",22,25,31
"([b],i)","([d16,b],i)",21,24,28
"([b],i)","([d16,b],i,d16)",23,26,31
"([b],i)","([d16,b],i,d32)",24,27,34
"([b],i)","([d32,b],i)",25,28,35
"([b],i)","([d32,b],i,d16)",27,30,36
"([b],i)","([d32,b],i,d32)",28,31,38
"([b],i)","(an)",12,15,18
"([b],i)","(an)+",12,15,18
"([b],i)","(b)",17,18,21
"([b],i)","(d16,an)",12,15,20
"([b],i)","(d16,an,xn)",16,19,23
"([b],i)","(d16,b)",17,20,25
"([b],i)","(d32,b)",21,24,30
"([b],i)","(d8,an,xn)",14,17,20
"([b],i)","(xxx).l",14,17,22
"([b],i)","(xxx).w",12,15,20
"([b],i)","-(an)",12,15,18
"([b],i)","an",9,14,16
"([b],i)","dn",9,14,16
"([b],i,d16)","([b],i)",21,24,24
"([b],i,d16)","([b],i,d16)",23,26,31
"([b],i,d16)","([b],i,d32)",24,27,34
"([b],i,d16)","([d16,b],i)",23,26,31
"([b],i,d16)","([d16,b],i,d16)",25,28,34
"([b],i,d16)","([d16,b],i,d32)",26,29,37
"([b],i,d16)","([d32,b],i)",27,30,38
"([b],i,d16)","([d32,b],i,d16)",29,32,39
"([b],i,d16)","([d32,b],i,d32)",30,33,41
"([b],i,d16)","(an)",14,17,21
"([b],i,d16)","(an)+",14,17,21
"([b],i,d16)","(b)",19,20,24
"([b],i,d16)","(d16,an)",14,17,23
"([b],i,d16)","(d16,an,xn)",18,21,26
"([b],i,d16)","(d16,b)",19,22,28
"([b],i,d16)","(d32,b)",23,26,33
"([b],i,d16)","(d8,an,xn)",16,19,23
"([b],i,d16)","(xxx).l",16,19,25
"([b],i,d16)","(xxx).w",14,17,23
"([b],i,d16)","-(an)",14,17,21
"([b],i,d16)","an",11,16,19
"([b],i,d16)","dn",11,16,19
"([b],i,d32)","([b],i)",21,24,25
"([b],i,d32)","([b],i,d16)",23,26,32
"([b],i,d32)","([b],i,d32)",24,27,35
"([b],i,d32)","([d16,b],i)",23,26,32
"([b],i,d32)","([d16,b],i,d16)",25,28,35
"([b],i,d32)","([d16,b],i,d32)",26,29,38
"([b],i,d32)","([d32,b],i)",27,30,39
"([b],i,d32)","([d32,b],i,d16)",29,32,40
"([b],i,d32)","([d32,b],i,d32)",30,33,42
"([b],i,d32)","(an)",14,17,22
"([b],i,d32)","(an)+",14,17,22
"([b],i,d32)","(b)",19,20,25
"([b],i,d32)","(d16,an)",14,17,24
"([b],i,d32)","(d16,an,xn)",18,21,27
"([b],i,d32)","(d16,b)",19,22,29
"([b],i,d32)","(d32,b)",23,26,34
"([b],i,d32)","(d8,an,xn)",16,19,24
"([b],i,d32)","(xxx).l",16,19,26
"([b],i,d32)","(xxx).w",14,17,24
"([b],i,d32)","-(an)",14,17,22
"([b],i,d32)","an",11,16,20
"([b],i,d32)","dn",11,16,20
"([d16,b],i)","([b],i)",21,24,24
"([d16,b],i)","([b],i,d16)",23,26,31
"([d16,b],i)","([b],i,d32)",24,27,34
"([d16,b],i)","([d16,b],i)",23,26,31
"([d16,b],i)","([d16,b],i,d16)",25,28,34
"([d16,b],i)","([d16,b],i,d32)",26,29,37
"([d16,b],i)","([d32,b],i)",27,30,38
"([d16,b],i)","([d32,b],i,d16)",29,32,39
"([d16,b],i)","([d32,b],i,d32)",30,33,41
"([d16,b],i)","(an)",14,17,21
"([d16,b],i)","(an)+",14,17,21
"([d16,b],i)","(b)",19,20,24
"([d16,b],i)","(d16,an)",14,17,23
"([d16,b],i)","(d16,an,xn)",18,21,26
"([d16,b],i)","(d16,b)",19,22,28
"([d16,b],i)","(d32,b)",23,26,33
"([d16,b],i)","(d8,an,xn)",16,19,23
"([d16,b],i)","(xxx).l",16,19,25
"([d16,b],i)","(xxx).w",14,17,23
"([d16,b],i)","-(an)",14,17,21
"([d16,b],i)","an",11,16,19
"([d16,b],i)","dn",11,16,19
